# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-04 20:46:21 688384149 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000060427 -0.000000000 -1.000000000  0.000000000000000000          -nan   0.000000000          -nan  0.000000193652469    79.000000  0.000000000000000 
     1     0.001000  0.000060427  0.000060427 -0.000379675 -0.999999928  0.000000000000000000 -30.000002162  30.000002162  30.000002162  0.000000193664174    79.000000 30.000002162293658 
     2     0.002000  0.000120854  0.000060427 -0.000759349 -0.999999712  0.000000000000000000 -30.000008649   3.445681053  30.000008649  0.000000193675881    79.000000  3.445681053034486 
     3     0.003000  0.000181281  0.000060427 -0.001139024 -0.999999351  0.000000000000000000 -30.000019461   3.666075694  30.000019461  0.000000193687591    79.000000  3.666075693573051 
     4     0.004000  0.000241708  0.000060427 -0.001518698 -0.999998847 -0.000000000000000888 -30.000034597   3.897686296  30.000034597  0.000000193699304    79.000000  3.897686296184956 
     5     0.005000  0.000302136  0.000060427 -0.001898373 -0.999998198  0.000000000000000888 -30.000054057   4.140870012  30.000054057  0.000000193711019    79.000000  4.140870011656542 
     6     0.006000  0.000362563  0.000060427 -0.002278046 -0.999997405  0.000000000000000000 -30.000077843   4.395980781  30.000077843  0.000000193722738    79.000000  4.395980780932944 
     7     0.007000  0.000422990  0.000060427 -0.002657720 -0.999996468  0.000000000000000000 -30.000105953   4.663368220  30.000105953  0.000000193734459    79.000000  4.663368219620365 
     8     0.008000  0.000483417  0.000060427 -0.003037393 -0.999995387 -0.000000000000001776 -30.000138387   4.943376455  30.000138387  0.000000193746183    79.000000  4.943376455466192 
     9     0.009000  0.000543844  0.000060427 -0.003417066 -0.999994162  0.000000000000000000 -30.000175147   5.236342932  30.000175147  0.000000193757910    79.000000  5.236342931664015 
    10     0.010000  0.000604271  0.000060427 -0.003796738 -0.999992792 -0.000000000000001776 -30.000216231   5.542597196  30.000216231  0.000000193769640    79.000000  5.542597196223118 
    11     0.011000  0.000664698  0.000060427 -0.004176410 -0.999991279  0.000000000000001776 -30.000261639   5.862459646  30.000261639  0.000000193781373    79.000000  5.862459646055528 
    12     0.012000  0.000725125  0.000060427 -0.004556081 -0.999989621  0.000000000000000000 -30.000311373   6.196240264  30.000311373  0.000000193793108    79.000000  6.196240264489935 
    13     0.013000  0.000785552  0.000060427 -0.004935751 -0.999987819  0.000000000000000000 -30.000365431   6.544237325  30.000365431  0.000000193804847    79.000000  6.544237325497110 
    14     0.014000  0.000845980  0.000060427 -0.005315421 -0.999985873  0.000000000000000000 -30.000423815   6.906736115  30.000423815  0.000000193816588    79.000000  6.906736115404155 
    15     0.015000  0.000906407  0.000060427 -0.005695090 -0.999983783  0.000000000000000000 -30.000486523   7.284007646  30.000486523  0.000000193828332    79.000000  7.284007645583499 
    16     0.016000  0.000966834  0.000060427 -0.006074758 -0.999981548  0.000000000000000000 -30.000553556   7.676307296  30.000553556  0.000000193840078    79.000000  7.676307296405240 
    17     0.017000  0.001027261  0.000060427 -0.006454426 -0.999979170  0.000000000000000000 -30.000624914   8.083873610  30.000624914  0.000000193851828    79.000000  8.083873609770864 
    18     0.018000  0.001087688  0.000060427 -0.006834092 -0.999976647  0.000000000000000000 -30.000700597   8.506926913  30.000700597  0.000000193863580    79.000000  8.506926912548563 
    19     0.019000  0.001148115  0.000060427 -0.007213757 -0.999973981  0.000000000000000000 -30.000780605   8.945668140  30.000780605  0.000000193875336    79.000000  8.945668140052987 
    20     0.020000  0.001208542  0.000060427 -0.007593422 -0.999971170  0.000000000000000000 -30.000864938   9.400277540  30.000864938  0.000000193887094    79.000000  9.400277539847096 
    21     0.021000  0.001268969  0.000060427 -0.007973085 -0.999968214  0.000000000000003553 -30.000953597   9.870913516  30.000953597  0.000000193898855    79.000000  9.870913515546532 
    22     0.022000  0.001329396  0.000060427 -0.008352747 -0.999965115 -0.000000000000003553 -30.001046580  10.357711374  30.001046580  0.000000193910619    79.000000 10.357711374287149 
    23     0.023000  0.001389824  0.000060427 -0.008732408 -0.999961872  0.000000000000003553 -30.001143890  10.860782276  30.001143890  0.000000193922385    79.000000 10.860782276438051 
    24     0.024000  0.001450251  0.000060427 -0.009112067 -0.999958484  0.000000000000000000 -30.001245524  11.380212084  30.001245524  0.000000193934155    79.000000 11.380212083533708 
    25     0.025000  0.001510678  0.000060427 -0.009491726 -0.999954953  0.000000000000000000 -30.001351484  11.916060482  30.001351484  0.000000193945927    79.000000 11.916060482490609 
    26     0.026000  0.001571105  0.000060427 -0.009871383 -0.999951277  0.000000000000003553 -30.001461770  12.468359757  30.001461770  0.000000193957702    79.000000 12.468359757372427 
    27     0.027000  0.001631532  0.000060427 -0.010251038 -0.999947457  0.000000000000000000 -30.001576381  13.037114102  30.001576381  0.000000193969480    79.000000 13.037114102496473 
    28     0.028000  0.001691959  0.000060427 -0.010630692 -0.999943493  0.000000000000000000 -30.001695318  13.622298753  30.001695318  0.000000193981261    79.000000 13.622298753075579 
    29     0.029000  0.001752386  0.000060427 -0.011010345 -0.999939384  0.000000000000000000 -30.001818581  14.223859200  30.001818581  0.000000193993044    79.000000 14.223859200064693 
    30     0.030000  0.001812813  0.000060427 -0.011389996 -0.999935132  0.000000000000000000 -30.001946169  14.841710527  30.001946169  0.000000194004831    79.000000 14.841710526980467 
    31     0.031000  0.001873240  0.000060427 -0.011769645 -0.999930735  0.000000000000000000 -30.002078084  15.475736749  30.002078084  0.000000194016620    79.000000 15.475736749482326 
    32     0.032000  0.001933668  0.000060427 -0.012149293 -0.999926195  0.000000000000000000 -30.002214325  16.125790401  30.002214325  0.000000194028412    79.000000 16.125790400763062 
    33     0.033000  0.001994095  0.000060427 -0.012528938 -0.999921510  0.000000000000000000 -30.002354892  16.791692275  30.002354892  0.000000194040207    79.000000 16.791692275471672 
    34     0.034000  0.002054522  0.000060427 -0.012908582 -0.999916681  0.000000000000000000 -30.002499785  17.473230812  30.002499785  0.000000194052005    79.000000 17.473230811553609 
    35     0.035000  0.002114949  0.000060427 -0.013288225 -0.999911708  0.000000000000007105 -30.002649004  18.170161873  30.002649004  0.000000194063806    79.000000 18.170161872573310 
    36     0.036000  0.002175376  0.000060427 -0.013667865 -0.999906590  0.000000000000000000 -30.002802551  18.882209254  30.002802551  0.000000194075609    79.000000 18.882209253750670 
    37     0.037000  0.002235803  0.000060427 -0.014047503 -0.999901329  0.000000000000000000 -30.002960423  19.609063719  30.002960423  0.000000194087416    79.000000 19.609063718531438 
    38     0.038000  0.002296230  0.000060427 -0.014427139 -0.999895923  0.000000000000000000 -30.003122623  20.350383839  30.003122623  0.000000194099225    79.000000 20.350383838524500 
    39     0.039000  0.002356657  0.000060427 -0.014806773 -0.999890374  0.000000000000000000 -30.003289149  21.105796092  30.003289149  0.000000194111037    79.000000 21.105796092208472 
    40     0.040000  0.002417084  0.000060427 -0.015186405 -0.999884680  0.000000000000000000 -30.003460002  21.874894616  30.003460002  0.000000194122852    79.000000 21.874894615778739 
    41     0.041000  0.002477512  0.000060427 -0.015566035 -0.999878842  0.000000000000000000 -30.003635182  22.657242511  30.003635182  0.000000194134669    79.000000 22.657242511035847 
    42     0.042000  0.002537939  0.000060427 -0.015945663 -0.999872860  0.000000000000000000 -30.003814690  23.452371427  30.003814690  0.000000194146490    79.000000 23.452371427249041 
    43     0.043000  0.002598366  0.000060427 -0.016325288 -0.999866734  0.000000000000000000 -30.003998525  24.259783246  30.003998525  0.000000194158313    79.000000 24.259783246472043 
    44     0.044000  0.002658793  0.000060427 -0.016704911 -0.999860463  0.000000000000000000 -30.004186687  25.078949492  30.004186687  0.000000194170139    79.000000 25.078949491801339 
    45     0.045000  0.002719220  0.000060427 -0.017084532 -0.999854049  0.000000000000000000 -30.004379177  25.909313436  30.004379177  0.000000194181968    79.000000 25.909313435785176 
    46     0.046000  0.002779647  0.000060427 -0.017464150 -0.999847490  0.000000000000007105 -30.004575995  26.750290124  30.004575995  0.000000194193800    79.000000 26.750290123918386 
    47     0.047000  0.002840074  0.000060427 -0.017843765 -0.999840787 -0.000000000000007105 -30.004777140  27.601267952  30.004777140  0.000000194205635    79.000000 27.601267952249152 
    48     0.048000  0.002900501  0.000060427 -0.018223378 -0.999833940 -0.000000000000007105 -30.004982614  28.461609346  30.004982614  0.000000194217473    79.000000 28.461609345557413 
    49     0.049000  0.002960928  0.000060427 -0.018602989 -0.999826949  0.000000000000007105 -30.005192416  29.330652113  30.005192416  0.000000194229313    79.000000 29.330652112664279 
    50     0.050000  0.003021356  0.000060427 -0.018982596 -0.999819814 -0.000000000000007105 -30.005406546  30.005406546  30.005406546  0.000000194241156    79.000000 30.005406545658506 
    51     0.051000  0.003081783  0.000060427 -0.019362201 -0.999812535 -0.000000000000014211 -30.005625004  30.005625004  30.005625004  0.000000194253002    79.000000 30.005625004231703 
    52     0.052000  0.003142210  0.000060427 -0.019741803 -0.999805112  0.000000000000000000 -30.005847791  30.005847791  30.005847791  0.000000194264851    79.000000 30.005847791447433 
    53     0.053000  0.003202637  0.000060427 -0.020121403 -0.999797544  0.000000000000007105 -30.006074907  30.006074907  30.006074907  0.000000194276703    79.000000 30.006074907466346 
    54     0.054000  0.003263064  0.000060427 -0.020500999 -0.999789832  0.000000000000007105 -30.006306352  30.006306352  30.006306352  0.000000194288557    79.000000 30.006306352452210 
    55     0.055000  0.003323491  0.000060427 -0.020880593 -0.999781977  0.000000000000000000 -30.006542127  30.006542127  30.006542127  0.000000194300415    79.000000 30.006542126571933 
    56     0.056000  0.003383918  0.000060427 -0.021260183 -0.999773977  0.000000000000014211 -30.006782230  30.006782230  30.006782230  0.000000194312275    79.000000 30.006782229995540 
    57     0.057000  0.003444345  0.000060427 -0.021639770 -0.999765833  0.000000000000000000 -30.007026663  30.007026663  30.007026663  0.000000194324138    79.000000 30.007026662896177 
    58     0.058000  0.003504772  0.000060427 -0.022019355 -0.999757545  0.000000000000000000 -30.007275425  30.007275425  30.007275425  0.000000194336004    79.000000 30.007275425450125 
    59     0.059000  0.003565200  0.000060427 -0.022398936 -0.999749112 -0.000000000000014211 -30.007528518  30.007528518  30.007528518  0.000000194347873    79.000000 30.007528517836779 
    60     0.060000  0.003625627  0.000060427 -0.022778514 -0.999740536  0.000000000000000000 -30.007785940  30.007785940  30.007785940  0.000000194359745    79.000000 30.007785940238676 
    61     0.061000  0.003686054  0.000060427 -0.023158088 -0.999731816  0.000000000000000000 -30.008047693  30.008047693  30.008047693  0.000000194371619    79.000000 30.008047692841458 
    62     0.062000  0.003746481  0.000060427 -0.023537659 -0.999722951  0.000000000000000000 -30.008313776  30.008313776  30.008313776  0.000000194383497    79.000000 30.008313775833923 
    63     0.063000  0.003806908  0.000060427 -0.023917227 -0.999713942  0.000000000000000000 -30.008584189  30.008584189  30.008584189  0.000000194395377    79.000000 30.008584189407966 
    64     0.064000  0.003867335  0.000060427 -0.024296792 -0.999704789  0.000000000000000000 -30.008858934  30.008858934  30.008858934  0.000000194407260    79.000000 30.008858933758628 
    65     0.065000  0.003927762  0.000060427 -0.024676353 -0.999695492  0.000000000000000000 -30.009138009  30.009138009  30.009138009  0.000000194419146    79.000000 30.009138009084072 
    66     0.066000  0.003988189  0.000060427 -0.025055910 -0.999686051  0.000000000000000000 -30.009421416  30.009421416  30.009421416  0.000000194431034    79.000000 30.009421415585599 
    67     0.067000  0.004048616  0.000060427 -0.025435464 -0.999676466  0.000000000000000000 -30.009709153  30.009709153  30.009709153  0.000000194442926    79.000000 30.009709153467618 
    68     0.068000  0.004109044  0.000060427 -0.025815014 -0.999666737  0.000000000000000000 -30.010001223  30.010001223  30.010001223  0.000000194454820    79.000000 30.010001222937682 
    69     0.069000  0.004169471  0.000060427 -0.026194560 -0.999656864  0.000000000000000000 -30.010297624  30.010297624  30.010297624  0.000000194466717    79.000000 30.010297624206473 
    70     0.070000  0.004229898  0.000060427 -0.026574103 -0.999646846  0.000000000000000000 -30.010598357  30.010598357  30.010598357  0.000000194478618    79.000000 30.010598357487801 
    71     0.071000  0.004290325  0.000060427 -0.026953641 -0.999636685  0.000000000000000000 -30.010903423  30.010903423  30.010903423  0.000000194490520    79.000000 30.010903422998606 
    72     0.072000  0.004350752  0.000060427 -0.027333176 -0.999626379 -0.000000000000014211 -30.011212821  30.011212821  30.011212821  0.000000194502426    79.000000 30.011212820958949 
    73     0.073000  0.004411179  0.000060427 -0.027712707 -0.999615929 -0.000000000000014211 -30.011526552  30.011526552  30.011526552  0.000000194514335    79.000000 30.011526551592038 
    74     0.074000  0.004471606  0.000060427 -0.028092234 -0.999605335  0.000000000000000000 -30.011844615  30.011844615  30.011844615  0.000000194526246    79.000000 30.011844615124208 
    75     0.075000  0.004532033  0.000060427 -0.028471757 -0.999594597  0.000000000000000000 -30.012167012  30.012167012  30.012167012  0.000000194538160    79.000000 30.012167011784911 
    76     0.076000  0.004592460  0.000060427 -0.028851275 -0.999583715  0.000000000000000000 -30.012493742  30.012493742  30.012493742  0.000000194550078    79.000000 30.012493741806750 
    77     0.077000  0.004652887  0.000060427 -0.029230790 -0.999572689  0.000000000000000000 -30.012824805  30.012824805  30.012824805  0.000000194561998    79.000000 30.012824805425456 
    78     0.078000  0.004713315  0.000060427 -0.029610300 -0.999561519 -0.000000000000014211 -30.013160203  30.013160203  30.013160203  0.000000194573920    79.000000 30.013160202879874 
    79     0.079000  0.004773742  0.000060427 -0.029989807 -0.999550205  0.000000000000000000 -30.013499934  30.013499934  30.013499934  0.000000194585846    79.000000 30.013499934412017 
    80     0.080000  0.004834169  0.000060427 -0.030369308 -0.999538746  0.000000000000000000 -30.013844000  30.013844000  30.013844000  0.000000194597775    79.000000 30.013844000267007 
    81     0.081000  0.004894596  0.000060427 -0.030748806 -0.999527144  0.000000000000000000 -30.014192401  30.014192401  30.014192401  0.000000194609706    79.000000 30.014192400693101 
    82     0.082000  0.004955023  0.000060427 -0.031128299 -0.999515397  0.000000000000000000 -30.014545136  30.014545136  30.014545136  0.000000194621640    79.000000 30.014545135941699 
